あ	\u2801
い	\u2803
う	\u2809
え	\u280B
お	\u280A
か	\u2821
き	\u2823
く	\u2829
け	\u282B
こ	\u282A
さ	\u2831
し	\u2833
す	\u2839
せ	\u283B
そ	\u283A
た	\u2815
ち	\u2817
つ	\u281D
て	\u281F
と	\u281E
な	\u2805
に	\u2807
ぬ	\u280D
ね	\u280F
の	\u280E
は	\u2825
ひ	\u2827
ふ	\u282D
へ	\u282F
ほ	\u282E
ま	\u2835
み	\u2837
む	\u283D
め	\u283F
も	\u283E
や	\u280C
ゆ	\u282C
よ	\u281C
ら	\u2811
り	\u2813
る	\u2819
れ	\u281B
ろ	\u281A
わ	\u2804
ゐ	\u2806
ゑ	\u2816
を	\u2814
ん	\u2834
っ	\u2802
が	\u2810\u2821
ぎ	\u2810\u2823
ぐ	\u2810\u2829
げ	\u2810\u282B
ご	\u2810\u282A
ざ	\u2810\u2831
じ	\u2810\u2833
ず	\u2810\u2839
ぜ	\u2810\u283B
ぞ	\u2810\u283A
だ	\u2810\u2815
ぢ	\u2810\u2817
づ	\u2810\u281D
で	\u2810\u281F
ど	\u2810\u281E
ば	\u2810\u2825
び	\u2810\u2827
ぶ	\u2810\u282D
べ	\u2810\u282F
ぼ	\u2810\u282E
ぱ	\u2820\u2825
ぴ	\u2820\u2827
ぷ	\u2820\u282D
ぺ	\u2820\u282F
ぽ	\u2830\u282E
きゃ	\u2808\u2821
きゅ	\u2808\u2829
きょ	\u2808\u282A
しゃ	\u2808\u2831
しゅ	\u2808\u2839
しょ	\u2808\u283A
ちゃ	\u2808\u2815
ちゅ	\u2808\u281D
ちょ	\u2808\u281E
にゃ	\u2808\u2805
にゅ	\u2808\u280D
にょ	\u2808\u280E
ひゃ	\u2808\u2825
ひゅ	\u2808\u282D
ひょ	\u2808\u282E
みゃ	\u2808\u2835
みゅ	\u2808\u283D
みょ	\u2808\u283E
りゃ	\u2808\u2811
りゅ	\u2808\u2819
りょ	\u2808\u281A
ぎゃ	\u2818\u2821
ぎゅ	\u2818\u2829
ぎょ	\u2818\u282A
じゃ	\u2818\u2831
じゅ	\u2818\u2839
じょ	\u2818\u283A
ぢゃ	\u2818\u2815
ぢゅ	\u2818\u281D
ぢょ	\u2818\u281E
びゃ	\u2818\u2825
びゅ	\u2818\u282D
びょ	\u2818\u282E
ぴゃ	\u2828\u2825
ぴゅ	\u2828\u282D
ぴょ	\u2828\u282E
ー	\u2812
、	\u2830\u2800
。	\u2832\u2800\u2800
・	\u2810\u2800
!	\u2816
?	\u2822

ぁ
ぃ
ぅ
ぇ
ぉ
ゃ
ゅ
ょ
ゎ
